supported,total
FAIL: Error while checking current version .28.0.2 vs supported version >=3 (non integer version: 3 or ),2
FAIL: Error while checking current version .1.10.3 vs supported version >1.12.1 (non integer version: 1 or ),13
FAIL: Error while checking current version .11.1 vs supported version >= 3 (non integer version: 3 or ),3
FAIL: Error while checking current version .3 vs supported version >1.12.1 (non integer version: 1 or ),98
Supported,43720871
FAIL: Error while checking current version .1.11.4 vs supported version >1.12.1 (non integer version: 1 or ),21
FAIL: Error while checking current version .1.13.2 vs supported version >1.12.1 (non integer version: 1 or ),2
FAIL: Error while checking current version .1.13.1 vs supported version >1.12.1 (non integer version: 1 or ),6
FAIL: Error while checking current version .2 vs supported version >1.12.1 (non integer version: 1 or ),442
Non-conclusive,432823125
FAIL: Error while checking current version .1.3.0 vs supported version >1.3 (non integer version: 1 or ),2
FAIL: Error while checking current version .... vs supported version >= 4 (non integer version: 4 or ),2
WARN: codename 'squeeze' renamed to 6.0 for Debian,5622
FAIL: Error while checking current version .1.11.3 vs supported version >1.12.1 (non integer version: 1 or ),2
FAIL: Error while checking current version .1.12.1 vs supported version >1.12.1 (non integer version: 1 or ),147
FAIL: Error while checking current version .1.21.1 vs supported version >1.12.1 (non integer version: 1 or ),4
FAIL: Error while checking current version ... vs supported version >=4 (non integer version: 4 or ),30
FAIL: Error while checking current version .1 vs supported version >= 3 (non integer version: 3 or ),12
FAIL: Error while checking current version .1 vs supported version >1.12.1 (non integer version: 1 or ),179
Unsupported,36278697
FAIL: Error while checking current version .. vs supported version >= 3 (non integer version: 3 or ),11
FAIL: Error while checking current version .1.11.0 vs supported version >1.12.1 (non integer version: 1 or ),9